id,admin2Pcod,ndvi_mean,ndvi_sd,ndvi_max,ndvi_min,ndvi_mean_adm2,ndvi_sd_adm2,ndvi_max_adm2,ndvi_min_adm2
8106,BJ0800,2594.676246693765,744.2245178439515,4403.078416728902,941.0714285714288,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8108,BJ0800,3462.322317131812,628.7837063517889,4502.997387084734,1130.668159761105,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8110,BJ0800,2942.8809163199485,649.2494942927344,4024.499306518723,804.1816920943135,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8354,BJ0800,1721.6011745260253,618.8023561440755,2961.0349462365593,411.7598108747045,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8355,BJ0800,3659.0254842657787,702.8596749288795,5000.453323375655,724.0802837938762,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8356,BJ0800,3018.497883129616,828.9033151821781,5018.481276005548,1029.6463245492373,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8623,BJ0800,1762.3788038903026,783.8115229914506,3773.788440567066,412.3630546075086,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8624,BJ0800,2114.78374870838,466.45442729060056,3279.342419716206,669.5582524271846,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8625,BJ0800,2578.6153184620584,758.3966331331585,4015.895977808599,627.4840499306517,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8876,BJ0800,783.7866723914235,464.4482136965513,2312.948867313916,-26.07896440129451,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8878,BJ0800,1483.7595815323457,428.68000076923346,2242.1295743091864,630.7494398805079,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
8880,BJ0800,1597.700823662437,610.6796225938498,2974.3820093457944,359.37593184238546,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
9129,BJ0800,2221.5221101931475,528.1091971285606,3341.1129289704713,1060.5382565664256,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
9131,BJ0800,1628.7602446111302,999.2559568444428,3810,-132,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
9394,BJ0800,2702.8013115058407,661.1213134350643,3973.275151515151,756.4290339989207,2297.4731139189953,1020.2844327015479,5018.481276005548,-132
10675,BJ0101,2675.1565346839047,733.4061111233867,3983.700409378489,877.5526609601787,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10930,BJ0101,4036.3559143103093,1563.426047793862,6611.584609637657,532.2465446395219,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10932,BJ0101,3303.7756654918708,1078.8152538860352,5103.119163242435,864.018304071722,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10934,BJ0101,3564.200845531023,1171.7910963804297,5808.889967637542,949.0984549047791,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10936,BJ0101,3503.0480021765743,1230.849345937224,5603.114916286149,592.1662929745887,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10939,BJ0101,4823.940146282,1213.8207862816992,6767.820186915888,847.5416822429908,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11182,BJ0101,5006.340493089279,1736.6402911187367,7858.155397833398,456.3937243182667,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11184,BJ0101,4343.650988732668,1380.4317469065243,6782.791635548918,833.288648244959,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11185,BJ0101,4615.3688750862675,1467.3170608382684,7176.409451659453,753.8964646464647,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11186,BJ0101,3872.9478765520093,1337.8093616116303,5960.282251437962,762.0148754183713,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11187,BJ0101,4846.330957560802,1537.716615050409,7365.936893203882,677.2449589245706,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11428,BJ0101,5129.220532844109,1747.4282147563026,7982.272218073189,1145.6911874533234,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11429,BJ0101,5286.542488643739,1786.97233556085,8065.18208955224,827.1440298507465,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11430,BJ0101,4012.5104576713,1527.5693553629374,7020.03523693803,632.7162891046386,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
11431,BJ0101,4932.55362914359,1401.7099935951537,7172.519985057902,1750.0052297347777,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9676,BJ0101,3962.126685817226,1606.5238962829287,7342.782008212021,2242.6274729376632,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9678,BJ0101,4028.6349255331243,1581.8269968050554,7196.887187149796,2193.316772506537,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9680,BJ0101,4148.419258139989,1550.7235560375186,7469.187593423021,2494.6532137518693,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9681,BJ0101,3911.6346997465394,1641.878059456722,7498.279521674141,2145.567264573991,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9682,BJ0101,3707.8371472158665,1551.7956451681773,7344.536020903323,2088.2336692795825,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9683,BJ0101,3799.506937686391,1591.175586897901,7385.980505415163,2147.076173285199,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9684,BJ0101,3644.1729829839555,1562.0172792107826,7312.0457589285725,2123.699776785715,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9685,BJ0101,3463.205186880244,1467.0904830535617,6654.343411720792,1972.406121687197,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9686,BJ0101,3832.342622658052,1589.777180939668,7091.7569081404035,2209.319641523525,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9687,BJ0101,3860.8436439232755,1620.9836027137817,7169.529323870003,2176.017930519238,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9688,BJ0101,3885.5016078998233,1559.1890747444593,7154.754949570415,2192.6245797534552,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9689,BJ0101,3990.7134298795336,1623.0873625084143,7169.804331590741,2260.727035100822,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9690,BJ0101,4199.37167502475,1566.564106654083,7074.969018290407,2394.48786860769,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9691,BJ0101,4240.4295285118,1547.8666627826533,7048.97273066866,2377.7258124766536,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9692,BJ0101,4235.40507192259,1613.052134940755,7211.348767737118,2417.327483196415,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9693,BJ0101,4270.778866448031,1627.7882451948094,7349.752800597461,2388.0287528005983,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9694,BJ0101,4315.8051836343875,1654.4608974368273,7588.462486002241,2400.9070548712207,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9695,BJ0101,4348.579496379518,1665.8309139950632,7647.85997012696,2357.9985063480212,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9696,BJ0101,4331.503938542495,1674.903743739637,7544.265595816212,2349.979454613373,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9697,BJ0101,4418.531476702857,1631.0095876092646,7515.784247853677,2355.7894736842104,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9698,BJ0101,4612.432184953081,1585.273832558837,7149.7696041822255,2502.6938013442873,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9700,BJ0101,4345.801400009745,1645.945358380638,7315.658573029512,2316.2140455734034,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9702,BJ0101,4298.04054668594,1566.1273941747318,7013.563317146059,2195.2555098991406,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9704,BJ0101,4309.247418579733,1565.542716665653,7259.84503360717,2294.011202389843,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9945,BJ0101,3974.888486462783,1616.5368276494582,7282.032872618602,2131.0399701158017,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9947,BJ0101,4048.84657503087,1675.7709735325427,7471.8609865470835,2206.578475336323,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9949,BJ0101,3942.786836425012,1524.1073869329764,7346.005225830532,2224.480776409108,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9950,BJ0101,3855.468085106383,1622.3861790249573,7588.005972377754,2216.081746920493,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9951,BJ0101,3630.9081448625457,1597.025001012041,7253.61322869955,2105.689835575485,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9952,BJ0101,3527.2644418331365,1606.1068029031705,7288.808648648645,2007.7106306306305,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9953,BJ0101,3594.305077055211,1608.9572438427929,7089.31159150205,2021.6608274319792,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9954,BJ0101,3668.238757161174,1623.1139240605069,6876.944755505787,2077.3445315416207,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9955,BJ0101,3791.646339484233,1605.5080991681036,6999.896229936544,2158.144083613289,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9956,BJ0101,3946.5787363876852,1613.6469776548056,7214.79843225084,2227.1284061216875,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9957,BJ0101,4104.043535063375,1606.0453875191085,7356.1276595744685,2352.687569988802,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9958,BJ0101,4073.425458883101,1557.728567273016,7173.518103770066,2341.516610675626,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9959,BJ0101,4235.374200409131,1630.0558117967266,7301.491038088125,2337.170276325616,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9960,BJ0101,4227.783014730961,1689.5098973905629,7446.077325364213,2356.4318266716473,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9961,BJ0101,4257.394168817047,1702.3277874444386,7633.971257932065,2300.7853676745053,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9962,BJ0101,4314.936039909151,1736.3955071050493,7718.556716417911,2320.6891791044773,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9963,BJ0101,4389.3883262735935,1691.4016844012308,7738.975363941768,2392.438223217619,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9964,BJ0101,4325.2529954216325,1649.7896839581672,7585.243465272591,2411.5698282300227,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9965,BJ0101,4611.553767629063,1498.8613188958514,7081.728630085853,2497.668159761105,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
9967,BJ0101,4568.787940016555,1593.5940136256588,7309.483389324374,2472.867114594999,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10202,BJ0101,3892.3332575400764,1580.3756115012288,7253.609264101607,2178.206948076205,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10204,BJ0101,3963.208970132043,1529.1109116513774,7218.909600298843,2260.6454986925664,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10205,BJ0101,3806.6950192317063,1651.9326819306252,7461.871593878314,2110.837625979844,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10206,BJ0101,3643.9871449221214,1629.0819178104844,7221.9622711991,2041.2144191258865,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10207,BJ0101,3678.0128469571714,1655.0251068070047,7336.291370937617,2053.4314531191635,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10208,BJ0101,3675.7660716241376,1648.1348883613314,7313.085282475711,2062.4843468873696,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10209,BJ0101,3848.8424603045755,1688.7488706799227,7269.743838685587,2191.323002240478,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10210,BJ0101,3896.7008575465725,1540.8606945421025,7081.614867388868,2243.18752334703,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
10211,BJ0101,4058.971888495633,1593.1935455776793,7322.591859596714,2266.170276325616,4285.976479561294,1692.495437027305,8302.597911227154,456.3937243182667
