id,admin2Pcod,ntl_mean,ntl_sd,ntl_max,ntl_min,ntl_mean_adm2,ntl_sd_adm2,ntl_max_adm2,ntl_min_adm2
3357,BJ1205,0.23426858786098992,0.11550156969327773,0.510800911266181,0.0240932356451209,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3359,BJ1205,0.24550735368573295,0.10529285469425523,0.5128797657462841,0.08646612799860012,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3572,BJ1205,0.2241071894136286,0.10278021993886571,0.4865552313733312,-0.0040260527425113,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3573,BJ1205,0.22390899521292745,0.0999928907509097,0.44015139382692897,-0.00255005605091351,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3574,BJ1205,0.22583776095239702,0.10143173823761453,0.4499090854426116,-5.038987808861202e-4,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3575,BJ1205,0.22837117294410755,0.10474206484045782,0.427317308356174,0.00986827595411942,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3576,BJ1205,0.24359017185924287,0.12473405523850484,0.6006465018959091,-6.900594672811009e-4,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3577,BJ1205,0.24178841897033249,0.12629667954562282,0.6075504871813904,0.00564824949021909,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3578,BJ1205,0.23890111555755664,0.13718396331679555,0.6804014640956078,-0.0159990645337877,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3579,BJ1205,0.23367255083626798,0.12148936546796749,0.542023677167585,0.01263406328379778,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3580,BJ1205,0.23660141491493528,0.1317548058407311,0.6460821423233192,-7.0815827657701e-5,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3581,BJ1205,0.23721858790772465,0.12433511407308756,0.5898769870469376,0.01192368290425403,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3582,BJ1205,0.2345946783704811,0.11343900204138768,0.4889944366369465,0.00656746874462872,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3583,BJ1205,0.23746078509816276,0.13883919275654927,0.673442334783536,0.00821447236006526,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3584,BJ1205,0.2356103357374424,0.12556539918786438,0.5741283342819441,0.00791112817847886,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3585,BJ1205,0.2389337831083309,0.12486236840320404,0.5985765114245684,0.01031886422284158,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3586,BJ1205,0.2401794259846776,0.13496458564838804,0.6684416729687632,0.01616956471477665,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3587,BJ1205,0.24519600201470754,0.12576975745909544,0.5959904434387661,0.00161813201894427,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3590,BJ1205,0.24773596258073938,0.1279926731317455,0.6257257749251599,0.01973503217524927,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
3593,BJ1205,0.24279299017838904,0.12600894286290823,0.619411378364872,0.02104660743279425,0.2446624314738513,0.12405475737877397,1.174772740130423,-0.03797556781495656
