id,hcho,hcho_adm2
8106,1.23215037203229e-4,1.1727016087952631e-4
8108,1.1855239696654865e-4,1.1727016087952631e-4
8110,1.1502686334544374e-4,1.1727016087952631e-4
8354,1.2892015228815852e-4,1.1727016087952631e-4
8355,1.1622213598162505e-4,1.1727016087952631e-4
8356,1.0850065529547382e-4,1.1727016087952631e-4
8623,1.280950078926117e-4,1.1727016087952631e-4
8624,1.193228822183385e-4,1.1727016087952631e-4
8625,1.1223117641212168e-4,1.1727016087952631e-4
8876,1.279535521502713e-4,1.1727016087952631e-4
8878,1.1780973511377009e-4,1.1727016087952631e-4
8880,1.1392949075150187e-4,1.1727016087952631e-4
9129,1.1300218902830851e-4,1.1727016087952631e-4
9131,1.1238743916369715e-4,1.1727016087952631e-4
9394,1.0388369938179516e-4,1.1727016087952631e-4
10675,1.1696281795288707e-4,9.115975985428546e-5
10930,1.4431826886092451e-4,9.115975985428546e-5
10932,1.2794003644989556e-4,9.115975985428546e-5
10934,1.2456285269610488e-4,9.115975985428546e-5
10936,1.2056851456360517e-4,9.115975985428546e-5
10939,1.0626888803615657e-4,9.115975985428546e-5
11182,1.33104275826233e-4,9.115975985428546e-5
11184,1.2319648499432774e-4,9.115975985428546e-5
11185,1.2556624247416707e-4,9.115975985428546e-5
11186,1.2386440854663395e-4,9.115975985428546e-5
11187,1.098474379341515e-4,9.115975985428546e-5
11428,1.2118003517546362e-4,9.115975985428546e-5
11429,1.1788047848380747e-4,9.115975985428546e-5
11430,1.1883083339649821e-4,9.115975985428546e-5
11431,1.1356963228100544e-4,9.115975985428546e-5
9676,9.454571365109367e-5,9.115975985428546e-5
9678,9.491369766742916e-5,9.115975985428546e-5
9680,9.587358129885017e-5,9.115975985428546e-5
9681,9.337575015812922e-5,9.115975985428546e-5
9682,9.110092801720805e-5,9.115975985428546e-5
9683,8.89903650511706e-5,9.115975985428546e-5
9684,9.015430971470217e-5,9.115975985428546e-5
9685,8.814241923194995e-5,9.115975985428546e-5
9686,8.519440681928358e-5,9.115975985428546e-5
9687,8.703724418172557e-5,9.115975985428546e-5
9688,9.372633564172838e-5,9.115975985428546e-5
9689,9.404710075627083e-5,9.115975985428546e-5
9690,8.829852051746981e-5,9.115975985428546e-5
9691,8.718262839381525e-5,9.115975985428546e-5
9692,9.20485541959013e-5,9.115975985428546e-5
9693,9.04759347436665e-5,9.115975985428546e-5
9694,9.013255372923939e-5,9.115975985428546e-5
9695,9.10873345518008e-5,9.115975985428546e-5
9696,8.893413151392986e-5,9.115975985428546e-5
9697,9.321717402232022e-5,9.115975985428546e-5
9698,9.32540340791776e-5,9.115975985428546e-5
9700,8.567163999135723e-5,9.115975985428546e-5
9702,7.872355217981318e-5,9.115975985428546e-5
9704,8.074886368747196e-5,9.115975985428546e-5
9945,9.099589188589198e-5,9.115975985428546e-5
9947,9.396103029244743e-5,9.115975985428546e-5
9949,9.20315937784519e-5,9.115975985428546e-5
9950,9.251877611639176e-5,9.115975985428546e-5
9951,9.20578570797894e-5,9.115975985428546e-5
9952,9.120587434878693e-5,9.115975985428546e-5
9953,9.398398904897167e-5,9.115975985428546e-5
9954,9.209567352008047e-5,9.115975985428546e-5
9955,8.900294950807624e-5,9.115975985428546e-5
9956,9.368421692765472e-5,9.115975985428546e-5
9957,9.66449821247762e-5,9.115975985428546e-5
9958,8.698237147244245e-5,9.115975985428546e-5
9959,8.322247052080205e-5,9.115975985428546e-5
9960,8.719110292534061e-5,9.115975985428546e-5
9961,8.593939839151478e-5,9.115975985428546e-5
9962,8.474048482684945e-5,9.115975985428546e-5
9963,8.662459976761894e-5,9.115975985428546e-5
9964,8.536892543483003e-5,9.115975985428546e-5
9965,8.626101423211748e-5,9.115975985428546e-5
9967,8.691665507201195e-5,9.115975985428546e-5
10202,9.4983592618268e-5,9.115975985428546e-5
10204,9.314919647035112e-5,9.115975985428546e-5
10205,9.625313778361827e-5,9.115975985428546e-5
10206,9.471740737452515e-5,9.115975985428546e-5
10207,9.317490727160465e-5,9.115975985428546e-5
10208,9.558502218647122e-5,9.115975985428546e-5
10209,9.334595467468075e-5,9.115975985428546e-5
10210,9.020682280684228e-5,9.115975985428546e-5
10211,9.676172822856585e-5,9.115975985428546e-5
10212,9.887878673161066e-5,9.115975985428546e-5
10213,9.226695775285044e-5,9.115975985428546e-5
10214,8.721143899825774e-5,9.115975985428546e-5
10215,8.787784018138849e-5,9.115975985428546e-5
10216,9.081215721623298e-5,9.115975985428546e-5
10217,9.135572627268114e-5,9.115975985428546e-5
10218,9.25002842036878e-5,9.115975985428546e-5
10219,9.378854499052255e-5,9.115975985428546e-5
10221,9.370098399611819e-5,9.115975985428546e-5
10448,9.157995673276368e-5,9.115975985428546e-5
10450,1.0363694350365229e-4,9.115975985428546e-5
10452,1.0237234735124876e-4,9.115975985428546e-5
10454,9.956530022439038e-5,9.115975985428546e-5
10456,9.559768746439979e-5,9.115975985428546e-5
10458,1.0006614820179223e-4,9.115975985428546e-5
10459,1.0384082159653664e-4,9.115975985428546e-5
10460,9.87764578404838e-5,9.115975985428546e-5
10461,9.282596466884312e-5,9.115975985428546e-5
10462,9.708976891902064e-5,9.115975985428546e-5
10463,1.0200381581244148e-4,9.115975985428546e-5
10464,9.77019858351778e-5,9.115975985428546e-5
10465,9.089433781931087e-5,9.115975985428546e-5
10466,9.095705682698705e-5,9.115975985428546e-5
10467,9.590992608220663e-5,9.115975985428546e-5
10468,1.001314873204611e-4,9.115975985428546e-5
10469,9.758844147876128e-5,9.115975985428546e-5
10471,9.480389896258226e-5,9.115975985428546e-5
10710,9.498416785121089e-5,9.115975985428546e-5
10713,8.843857685987292e-5,9.115975985428546e-5
10715,1.0194329089961357e-4,9.115975985428546e-5
10717,1.0877666430306087e-4,9.115975985428546e-5
10718,9.93192515007425e-5,9.115975985428546e-5
10719,9.027570042292151e-5,9.115975985428546e-5
10720,9.343074279907674e-5,9.115975985428546e-5
10721,9.826360186337438e-5,9.115975985428546e-5
10722,9.401572093408926e-5,9.115975985428546e-5
10723,8.961924842679713e-5,9.115975985428546e-5
10724,8.939908910401e-5,9.115975985428546e-5
10726,9.30891007273748e-5,9.115975985428546e-5
10728,8.909326329774076e-5,9.115975985428546e-5
10730,8.456456710590149e-5,9.115975985428546e-5
10732,8.927431315173729e-5,9.115975985428546e-5
10973,1.0129611464278886e-4,9.115975985428546e-5
10975,1.0376362575084817e-4,9.115975985428546e-5
10977,9.087230163694951e-5,9.115975985428546e-5
10978,8.477746058679283e-5,9.115975985428546e-5
10979,9.17481649805682e-5,9.115975985428546e-5
10980,9.519983122578474e-5,9.115975985428546e-5
10981,9.257565444369796e-5,9.115975985428546e-5
10982,9.579955124032149e-5,9.115975985428546e-5
10983,9.436930057101087e-5,9.115975985428546e-5
11223,9.52538253611461e-5,9.115975985428546e-5
11225,8.794962976253609e-5,9.115975985428546e-5
11226,8.731872204639662e-5,9.115975985428546e-5
11227,9.492490646284371e-5,9.115975985428546e-5
11228,9.17807532317771e-5,9.115975985428546e-5
11229,8.633745700409167e-5,9.115975985428546e-5
11230,9.436704500639003e-5,9.115975985428546e-5
11231,9.59186025144485e-5,9.115975985428546e-5
11468,9.109851372109853e-5,9.115975985428546e-5
11470,8.700479251012558e-5,9.115975985428546e-5
11472,8.696386176185857e-5,9.115975985428546e-5
11473,9.330643302911328e-5,9.115975985428546e-5
11474,9.404573501273814e-5,9.115975985428546e-5
11475,8.51616051135296e-5,9.115975985428546e-5
11476,8.795063207790382e-5,9.115975985428546e-5
11477,9.347414462631718e-5,9.115975985428546e-5
11689,9.307625517773151e-5,9.115975985428546e-5
11691,9.163496629819934e-5,9.115975985428546e-5
11693,9.658096380145869e-5,9.115975985428546e-5
11694,9.580326986562991e-5,9.115975985428546e-5
11695,9.124884177040764e-5,9.115975985428546e-5
11696,9.3399051233395e-5,9.115975985428546e-5
11697,9.640354865021734e-5,9.115975985428546e-5
11885,9.202286628327445e-5,9.115975985428546e-5
11887,9.546118582799103e-5,9.115975985428546e-5
11888,9.266830801954135e-5,9.115975985428546e-5
11889,8.758522931482174e-5,9.115975985428546e-5
11890,9.083515294113974e-5,9.115975985428546e-5
11891,9.141134164016266e-5,9.115975985428546e-5
11893,9.174943887365311e-5,9.115975985428546e-5
12049,1.003680541021453e-4,9.115975985428546e-5
12051,9.990815511003008e-5,9.115975985428546e-5
12052,9.347266386146759e-5,9.115975985428546e-5
12053,8.672878217218271e-5,9.115975985428546e-5
12054,8.040337884587238e-5,9.115975985428546e-5
12056,8.747040972714066e-5,9.115975985428546e-5
12058,9.794357230432074e-5,9.115975985428546e-5
12197,1.0027620812861216e-4,9.115975985428546e-5
12200,1.0088810862287364e-4,9.115975985428546e-5
12202,9.803814798683841e-5,9.115975985428546e-5
12203,9.377319674513598e-5,9.115975985428546e-5
12204,8.724194424306509e-5,9.115975985428546e-5
12351,9.38075017109874e-5,9.115975985428546e-5
12353,9.434222784584061e-5,9.115975985428546e-5
12354,9.304535833040729e-5,9.115975985428546e-5
12355,9.595903356805741e-5,9.115975985428546e-5
12483,9.498939227765726e-5,9.115975985428546e-5
12485,9.423155722915858e-5,9.115975985428546e-5
12487,8.652249165284381e-5,9.115975985428546e-5
12489,8.868312429376502e-5,9.115975985428546e-5
5001,8.548404607025443e-5,9.115975985428546e-5
5002,8.596243278482122e-5,9.115975985428546e-5
5004,8.865157861350624e-5,9.115975985428546e-5
5226,9.262265173368957e-5,9.115975985428546e-5
5227,8.766252191203512e-5,9.115975985428546e-5
5228,8.93893080974786e-5,9.115975985428546e-5
5229,9.345848558633633e-5,9.115975985428546e-5
5231,8.869554952726868e-5,9.115975985428546e-5
5233,8.630825639304867e-5,9.115975985428546e-5
5458,9.19378123391215e-5,9.115975985428546e-5
5459,9.172842886645803e-5,9.115975985428546e-5
5460,9.012074064156302e-5,9.115975985428546e-5
5461,8.948286054001316e-5,9.115975985428546e-5
5462,9.25476593521233e-5,9.115975985428546e-5
5463,9.332059384690585e-5,9.115975985428546e-5
5464,9.015195910681259e-5,9.115975985428546e-5
5466,9.0805075654852e-5,9.115975985428546e-5
5468,8.700072734353044e-5,9.115975985428546e-5
5706,9.287623175784425e-5,9.115975985428546e-5
5707,9.250748555789996e-5,9.115975985428546e-5
5708,9.322742739131835e-5,9.115975985428546e-5
5709,9.231229473093782e-5,9.115975985428546e-5
5710,8.808368333278893e-5,9.115975985428546e-5
5711,8.571053900556526e-5,9.115975985428546e-5
5712,8.854815810047589e-5,9.115975985428546e-5
5713,9.082786714740361e-5,9.115975985428546e-5
5714,9.033283672369027e-5,9.115975985428546e-5
5715,9.036342290713068e-5,9.115975985428546e-5
5717,8.966537592183446e-5,9.115975985428546e-5
5719,8.881541549545248e-5,9.115975985428546e-5
5721,8.814706401189509e-5,9.115975985428546e-5
5956,9.407652314727929e-5,9.115975985428546e-5
5957,9.17955074289765e-5,9.115975985428546e-5
5958,9.394947353869378e-5,9.115975985428546e-5
5959,9.713362022605595e-5,9.115975985428546e-5
5960,9.423702794548847e-5,9.115975985428546e-5
5961,8.398320028251376e-5,9.115975985428546e-5
5962,8.157951268951389e-5,9.115975985428546e-5
5963,8.860896529820388e-5,9.115975985428546e-5
5964,9.237908169028722e-5,9.115975985428546e-5
5965,8.730212207654527e-5,9.115975985428546e-5
5966,8.684281714155628e-5,9.115975985428546e-5
5967,9.121290370567012e-5,9.115975985428546e-5
5968,8.991498602127245e-5,9.115975985428546e-5
5969,8.585991783736574e-5,9.115975985428546e-5
5971,8.025891769534649e-5,9.115975985428546e-5
5973,8.268384957075543e-5,9.115975985428546e-5
6188,9.069287437628835e-5,9.115975985428546e-5
6189,8.929834380625958e-5,9.115975985428546e-5
6190,8.791650802340912e-5,9.115975985428546e-5
6191,8.7294275052768425e-05,9.115975985428546e-5
6192,9.06098546874761e-5,9.115975985428546e-5
6193,8.990458015491282e-5,9.115975985428546e-5
6194,8.4942677074874e-5,9.115975985428546e-5
6195,8.370084177717802e-5,9.115975985428546e-5
6196,9.071963064938765e-5,9.115975985428546e-5
6197,9.000056800422757e-5,9.115975985428546e-5
6198,8.396815415287768e-5,9.115975985428546e-5
6199,8.491328407528783e-5,9.115975985428546e-5
6200,9.034832564638545e-5,9.115975985428546e-5
6201,9.129082589558693e-5,9.115975985428546e-5
6202,8.743696552778328e-5,9.115975985428546e-5
6203,8.490508822345461e-5,9.115975985428546e-5
6204,8.878389778485372e-5,9.115975985428546e-5
6206,9.893427537526904e-5,9.115975985428546e-5
6208,9.280994207072307e-5,9.115975985428546e-5
6422,8.892666933134389e-5,9.115975985428546e-5
6423,8.521290728687597e-5,9.115975985428546e-5
6424,8.579554148024468e-5,9.115975985428546e-5
6425,8.493155227883982e-5,9.115975985428546e-5
6426,8.869462378708434e-5,9.115975985428546e-5
6427,8.865874994115151e-5,9.115975985428546e-5
6428,8.385367721265034e-5,9.115975985428546e-5
6429,8.489410239934442e-5,9.115975985428546e-5
6430,8.47221553834691e-5,9.115975985428546e-5
6431,8.722669052874342e-5,9.115975985428546e-5
6432,8.241451490230637e-5,9.115975985428546e-5
6433,8.853092898630107e-5,9.115975985428546e-5
6434,9.172957047463314e-5,9.115975985428546e-5
6435,9.219693461421834e-5,9.115975985428546e-5
6436,9.155026307182358e-5,9.115975985428546e-5
6437,8.694155805024003e-5,9.115975985428546e-5
6438,8.161764326702595e-5,9.115975985428546e-5
6439,8.804674041039415e-5,9.115975985428546e-5
6440,9.231055381577974e-5,9.115975985428546e-5
6441,9.310030935077664e-5,9.115975985428546e-5
6443,9.403709333106128e-5,9.115975985428546e-5
6445,9.461774069444185e-5,9.115975985428546e-5
6447,9.596274982038112e-5,9.115975985428546e-5
6665,8.589558989449938e-5,9.115975985428546e-5
6666,8.38663599786342e-5,9.115975985428546e-5
6667,8.467845345379162e-5,9.115975985428546e-5
6668,8.703264213617045e-5,9.115975985428546e-5
6669,8.522856228886628e-5,9.115975985428546e-5
6670,8.465627846721413e-5,9.115975985428546e-5
6671,7.974561272886595e-5,9.115975985428546e-5
6672,8.362428199007995e-5,9.115975985428546e-5
6673,8.281639785736136e-5,9.115975985428546e-5
6674,8.659419397271974e-5,9.115975985428546e-5
6675,8.999287657843693e-5,9.115975985428546e-5
6676,8.973411609368879e-5,9.115975985428546e-5
6677,9.115942465130903e-5,9.115975985428546e-5
6678,9.39045920607138e-5,9.115975985428546e-5
6679,9.536147411477462e-5,9.115975985428546e-5
6680,8.76139244589654e-5,9.115975985428546e-5
6681,7.491127632237766e-5,9.115975985428546e-5
6682,8.53431092107265e-5,9.115975985428546e-5
6683,8.505388207931962e-5,9.115975985428546e-5
6684,8.615038019251161e-5,9.115975985428546e-5
6685,9.704947877888276e-5,9.115975985428546e-5
6686,1.0298563650828436e-4,9.115975985428546e-5
6687,9.727357968645211e-5,9.115975985428546e-5
6918,9.181595180908963e-5,9.115975985428546e-5
6919,8.70276963437813e-5,9.115975985428546e-5
6920,8.420941066398542e-5,9.115975985428546e-5
6921,7.695598759687602e-5,9.115975985428546e-5
6922,7.440789326847066e-5,9.115975985428546e-5
6923,8.341573325926783e-5,9.115975985428546e-5
6924,8.771049737243241e-5,9.115975985428546e-5
6925,8.208044262352591e-5,9.115975985428546e-5
6926,8.243070926184371e-5,9.115975985428546e-5
6927,8.553687798189227e-5,9.115975985428546e-5
6928,9.055155965880837e-5,9.115975985428546e-5
6929,8.862634212717414e-5,9.115975985428546e-5
6930,8.590517027981165e-5,9.115975985428546e-5
6931,8.491217719761764e-5,9.115975985428546e-5
6932,9.100979520263006e-5,9.115975985428546e-5
6933,9.426718245267735e-5,9.115975985428546e-5
6934,9.01505501865911e-5,9.115975985428546e-5
6935,8.392443864782648e-5,9.115975985428546e-5
6936,9.247429466282156e-5,9.115975985428546e-5
6937,9.24550337580838e-5,9.115975985428546e-5
6938,9.13834392664074e-5,9.115975985428546e-5
6939,1.0032677807378078e-4,9.115975985428546e-5
6940,1.0481331899435708e-4,9.115975985428546e-5
6941,1.0126230011024546e-4,9.115975985428546e-5
6943,9.706851492023255e-5,9.115975985428546e-5
7170,8.556652393728509e-5,9.115975985428546e-5
7171,8.637192760460487e-5,9.115975985428546e-5
7172,8.606838726649852e-5,9.115975985428546e-5
7173,8.586792471603882e-5,9.115975985428546e-5
7174,8.23707871350021e-5,9.115975985428546e-5
7175,7.482926397394207e-5,9.115975985428546e-5
7176,8.474097470977717e-5,9.115975985428546e-5
7177,8.888094478531699e-5,9.115975985428546e-5
7178,8.529857792236305e-5,9.115975985428546e-5
7179,8.648280805246227e-5,9.115975985428546e-5
7180,9.079558540420135e-5,9.115975985428546e-5
7181,9.250115425736842e-5,9.115975985428546e-5
7182,8.572989915297985e-5,9.115975985428546e-5
7183,8.341757519113913e-5,9.115975985428546e-5
7184,8.478455408272971e-5,9.115975985428546e-5
7185,9.112716480901321e-5,9.115975985428546e-5
7186,8.967632624084022e-5,9.115975985428546e-5
7187,8.819506756042483e-5,9.115975985428546e-5
7188,8.809986427401477e-5,9.115975985428546e-5
7189,9.387958207962971e-5,9.115975985428546e-5
7190,9.705973459744511e-5,9.115975985428546e-5
7191,9.614937202904867e-5,9.115975985428546e-5
7192,1.0012087303358504e-4,9.115975985428546e-5
7193,1.0182773263363388e-4,9.115975985428546e-5
7194,1.026980793872417e-4,9.115975985428546e-5
7195,1.011690855660894e-4,9.115975985428546e-5
7399,8.98428235197732e-5,9.115975985428546e-5
7400,8.603632741845112e-5,9.115975985428546e-5
7401,8.072639956682295e-5,9.115975985428546e-5
