id,admin2Pcod,population,population_adm2
380,BJ0205,61.813331604003906,148473.9669175148
381,BJ0208,61.813331604003906,118221.17363291979
382,BJ0205,111.89010620117188,148473.9669175148
383,BJ0208,111.89010620117188,118221.17363291979
384,BJ0205,38.58594512939453,148473.9669175148
385,BJ0205,1149.98388671875,148473.9669175148
386,BJ0205,564.92596435546875,148473.9669175148
387,BJ0205,681.48431396484375,148473.9669175148
388,BJ0205,192.43775939941406,148473.9669175148
389,BJ0205,882.835205078125,148473.9669175148
390,BJ0205,1643.6484375,148473.9669175148
391,BJ0205,1112.84228515625,148473.9669175148
392,BJ0205,176.8692626953125,148473.9669175148
393,BJ0205,868.2979736328125,148473.9669175148
394,BJ0205,270.47991943359375,148473.9669175148
395,BJ0208,270.47991943359375,118221.17363291979
396,BJ0205,815.3494873046875,148473.9669175148
397,BJ0208,815.3494873046875,118221.17363291979
398,BJ0208,739.21893310546875,118221.17363291979
399,BJ0208,1803.5936279296875,118221.17363291979
400,BJ0208,869.8768310546875,118221.17363291979
401,BJ0208,638.8138427734375,118221.17363291979
402,BJ0208,585.57159423828125,118221.17363291979
403,BJ0201,585.57159423828125,93779.27038025856
404,BJ0208,1325.3970947265625,118221.17363291979
405,BJ0201,1325.3970947265625,93779.27038025856
406,BJ0201,1173.7684326171875,93779.27038025856
407,BJ0201,2471.084228515625,93779.27038025856
408,BJ0201,1079.8602294921875,93779.27038025856
409,BJ0201,657.217529296875,93779.27038025856
410,BJ0201,510.1328430175781,93779.27038025856
411,BJ0201,1258.5469970703125,93779.27038025856
412,BJ0201,1977.6719970703125,93779.27038025856
413,BJ0201,3075.869140625,93779.27038025856
414,BJ0201,2999.634521484375,93779.27038025856
415,BJ0201,406.87109375,93779.27038025856
416,BJ0208,0,118221.17363291979
417,BJ0208,0,118221.17363291979
418,BJ0208,0,118221.17363291979
419,BJ0208,0,118221.17363291979
420,BJ0208,0,118221.17363291979
421,BJ0208,0,118221.17363291979
422,BJ0208,6.591047763824463,118221.17363291979
423,BJ0208,66.41706848144531,118221.17363291979
424,BJ0208,0,118221.17363291979
425,BJ0208,0,118221.17363291979
426,BJ0208,0,118221.17363291979
427,BJ0208,1.126178503036499,118221.17363291979
428,BJ0208,0,118221.17363291979
429,BJ0208,0,118221.17363291979
430,BJ0205,0,148473.9669175148
431,BJ0208,0,118221.17363291979
432,BJ0205,179.0863037109375,148473.9669175148
433,BJ0205,158.28916931152344,148473.9669175148
434,BJ0205,3232.78173828125,148473.9669175148
435,BJ0205,983.8646240234375,148473.9669175148
436,BJ0205,131.0684051513672,148473.9669175148
437,BJ0205,437.715576171875,148473.9669175148
438,BJ0205,159.5359649658203,148473.9669175148
439,BJ0205,620.72869873046875,148473.9669175148
440,BJ0205,664.65936279296875,148473.9669175148
441,BJ0205,928.5526123046875,148473.9669175148
442,BJ0205,1344.068603515625,148473.9669175148
443,BJ0208,1344.068603515625,118221.17363291979
444,BJ0208,584.6661376953125,118221.17363291979
445,BJ0208,758.7113037109375,118221.17363291979
446,BJ0208,1408.0645751953125,118221.17363291979
447,BJ0208,526.170166015625,118221.17363291979
448,BJ0208,436.54693603515625,118221.17363291979
449,BJ0208,290.54278564453125,118221.17363291979
450,BJ0208,560.0556640625,118221.17363291979
451,BJ0201,560.0556640625,93779.27038025856
452,BJ0201,363.5960693359375,93779.27038025856
453,BJ0201,708.99908447265625,93779.27038025856
454,BJ0201,150.69642639160156,93779.27038025856
455,BJ0201,72.88971710205078,93779.27038025856
456,BJ0201,199.65672302246094,93779.27038025856
457,BJ0201,868.861572265625,93779.27038025856
458,BJ0201,1460.892578125,93779.27038025856
459,BJ0201,895.35400390625,93779.27038025856
460,BJ0201,1055.378173828125,93779.27038025856
461,BJ0201,1198.1077880859375,93779.27038025856
462,BJ0201,99.48657989501953,93779.27038025856
463,BJ0208,0,118221.17363291979
464,BJ0208,39.47719192504883,118221.17363291979
465,BJ0208,0,118221.17363291979
466,BJ0208,0,118221.17363291979
467,BJ0208,12.894729614257812,118221.17363291979
468,BJ0208,0,118221.17363291979
469,BJ0208,0,118221.17363291979
470,BJ0208,19.390155792236328,118221.17363291979
471,BJ0208,0,118221.17363291979
472,BJ0208,0,118221.17363291979
473,BJ0208,0,118221.17363291979
474,BJ0208,0,118221.17363291979
475,BJ0208,0,118221.17363291979
476,BJ0208,0,118221.17363291979
477,BJ0205,0,148473.9669175148
478,BJ0208,0,118221.17363291979
479,BJ0205,0,148473.9669175148
480,BJ0208,0,118221.17363291979
481,BJ0205,58.81105041503906,148473.9669175148
482,BJ0205,239.61683654785156,148473.9669175148
483,BJ0205,689.53143310546875,148473.9669175148
484,BJ0205,461.8448791503906,148473.9669175148
485,BJ0205,521.4232177734375,148473.9669175148
486,BJ0205,337.30145263671875,148473.9669175148
487,BJ0205,211.2253875732422,148473.9669175148
488,BJ0208,211.2253875732422,118221.17363291979
489,BJ0205,700.18487548828125,148473.9669175148
490,BJ0208,700.18487548828125,118221.17363291979
491,BJ0205,165.50680541992188,148473.9669175148
492,BJ0208,165.50680541992188,118221.17363291979
493,BJ0205,305.9081726074219,148473.9669175148
494,BJ0208,305.9081726074219,118221.17363291979
495,BJ0208,321.55511474609375,118221.17363291979
496,BJ0208,1192.1903076171875,118221.17363291979
497,BJ0208,956.438232421875,118221.17363291979
498,BJ0208,1804.797119140625,118221.17363291979
499,BJ0208,731.93017578125,118221.17363291979
500,BJ0208,286.58447265625,118221.17363291979
501,BJ0201,286.58447265625,93779.27038025856
502,BJ0208,288.5647888183594,118221.17363291979
503,BJ0201,288.5647888183594,93779.27038025856
504,BJ0201,16.92170524597168,93779.27038025856
505,BJ0201,85.06602478027344,93779.27038025856
506,BJ0201,39.00967025756836,93779.27038025856
507,BJ0201,94.578216552734375,93779.27038025856
508,BJ0201,154.42469787597656,93779.27038025856
509,BJ0201,208.91122436523438,93779.27038025856
510,BJ0201,472.85113525390625,93779.27038025856
511,BJ0201,171.8109893798828,93779.27038025856
512,BJ0201,162.40322875976562,93779.27038025856
513,BJ0201,337.3592529296875,93779.27038025856
514,BJ0201,223.84559631347656,93779.27038025856
515,BJ0208,0,118221.17363291979
516,BJ0208,0,118221.17363291979
517,BJ0208,0,118221.17363291979
518,BJ0208,0,118221.17363291979
519,BJ0208,0,118221.17363291979
520,BJ0208,0,118221.17363291979
