id,precip_year,admin2Pcod,precip_2018,precip_2018_sd,precip_2018_adm2,precip_2018_sd_adm2,precip_year_adm2
8106,1309.5555555555557,BJ0800,1312,81.63926565672732,1323.4689346147636,20.37323511894822,19835.537787721285
8108,1307.816612729234,BJ0800,1307.1844660194176,81.73109795769788,1323.4689346147636,20.37323511894822,19835.537787721285
8110,1306.6666666666667,BJ0800,1304,81.79501355476533,1323.4689346147636,20.37323511894822,19835.537787721285
8354,1301.1372549019607,BJ0800,1303.764705882353,82.3306081253352,1323.4689346147636,20.37323511894822,19835.537787721285
8355,1312.2545846817693,BJ0800,1313.2912621359226,82.77035356767573,1323.4689346147636,20.37323511894822,19835.537787721285
8356,1319.6871628910462,BJ0800,1319.6796116504852,83.06495780652816,1323.4689346147636,20.37323511894822,19835.537787721285
8623,1303.9320388349515,BJ0800,1306.7864077669901,83.06773674207808,1323.4689346147636,20.37323511894822,19835.537787721285
8624,1315.3322332233224,BJ0800,1316.7029702970299,83.45183684401404,1323.4689346147636,20.37323511894822,19835.537787721285
8625,1322.8824163969796,BJ0800,1323.2815533980581,83.71975299067789,1323.4689346147636,20.37323511894822,19835.537787721285
8876,1315.6666666666667,BJ0800,1319,84.58718829847949,1323.4689346147636,20.37323511894822,19835.537787721285
8878,1320.68284789644,BJ0800,1322.009708737864,84.65994185296861,1323.4689346147636,20.37323511894822,19835.537787721285
8880,1324,BJ0800,1324,84.71163205877104,1323.4689346147636,20.37323511894822,19835.537787721285
9129,1347.9444444444443,BJ0800,1349.990196078431,86.67061894206553,1323.4689346147636,20.37323511894822,19835.537787721285
9131,1364,BJ0800,1364.5,87.11674725054392,1323.4689346147636,20.37323511894822,19835.537787721285
9394,1363.9793028322442,BJ0800,1365.8431372549023,87.96733478586306,1323.4689346147636,20.37323511894822,19835.537787721285
10675,1352.059331175836,BJ0101,1378.9514563106798,87.41029229620287,975.6668263642999,79.72930363721048,514453.5874791335
10930,1351.4183006535948,BJ0101,1381.5196078431372,87.34392797150954,975.6668263642999,79.72930363721048,514453.5874791335
10932,1363.533769063181,BJ0101,1390.4411764705883,88.18396983480262,975.6668263642999,79.72930363721048,514453.5874791335
10934,1380.9283154121863,BJ0101,1399.9354838709676,89.86737461054862,975.6668263642999,79.72930363721048,514453.5874791335
10936,1383.137254901961,BJ0101,1396.9705882352941,91.89432253988348,975.6668263642999,79.72930363721048,514453.5874791335
10939,1388.7429193899782,BJ0101,1399.1176470588236,92.78097805882932,975.6668263642999,79.72930363721048,514453.5874791335
11182,1359.1459694989107,BJ0101,1388.4313725490194,88.32403532481456,975.6668263642999,79.72930363721048,514453.5874791335
11184,1365.507625272331,BJ0101,1391.7647058823532,89.00757062483213,975.6668263642999,79.72930363721048,514453.5874791335
11185,1379.888888888889,BJ0101,1399,90.56133866394678,975.6668263642999,79.72930363721048,514453.5874791335
11186,1386.9360587002097,BJ0101,1399.7830188679245,92.28028198799888,975.6668263642999,79.72930363721048,514453.5874791335
11187,1392.1196581196582,BJ0101,1401.8173076923076,92.98388624253893,975.6668263642999,79.72930363721048,514453.5874791335
11428,1376.4829059829058,BJ0101,1401.8653846153843,89.74867442617774,975.6668263642999,79.72930363721048,514453.5874791335
11429,1385.823717948718,BJ0101,1404.8173076923078,91.19361550375115,975.6668263642999,79.72930363721048,514453.5874791335
11430,1393.4632616487456,BJ0101,1407.6532258064517,92.4200802408799,975.6668263642999,79.72930363721048,514453.5874791335
11431,1400.3969795037756,BJ0101,1410.8252427184468,93.22768768343714,975.6668263642999,79.72930363721048,514453.5874791335
9676,821.5238095238094,BJ0101,887.3999999999999,91.29304819837405,975.6668263642999,79.72930363721048,514453.5874791335
9678,829.1111111111112,BJ0101,894.0952380952382,91.83379565756061,975.6668263642999,79.72930363721048,514453.5874791335
9680,837.5238095238095,BJ0101,903.8571428571428,92.68251561809649,975.6668263642999,79.72930363721048,514453.5874791335
9681,842.1208198489752,BJ0101,908.5533980582525,92.99065004356135,975.6668263642999,79.72930363721048,514453.5874791335
9682,845.1777777777778,BJ0101,911.6857142857143,93.19758182423497,975.6668263642999,79.72930363721048,514453.5874791335
9683,859.5062724014336,BJ0101,927.4274193548388,94.29527648945943,975.6668263642999,79.72930363721048,514453.5874791335
9684,865.6551362683438,BJ0101,934.1886792452829,94.78501593569676,975.6668263642999,79.72930363721048,514453.5874791335
9685,869.8119658119658,BJ0101,938.7692307692308,95.11919103397894,975.6668263642999,79.72930363721048,514453.5874791335
9686,879.7243589743589,BJ0101,949.1153846153845,95.96130576976613,975.6668263642999,79.72930363721048,514453.5874791335
9687,882.3717948717949,BJ0101,952.5384615384617,96.18144877702275,975.6668263642999,79.72930363721048,514453.5874791335
9688,886.4186666666667,BJ0101,957.76,96.51856598917155,975.6668263642999,79.72930363721048,514453.5874791335
9689,889.2592592592594,BJ0101,960.552380952381,96.84578469146714,975.6668263642999,79.72930363721048,514453.5874791335
9690,894.0566239316239,BJ0101,965.5384615384615,97.11306166300251,975.6668263642999,79.72930363721048,514453.5874791335
9691,901.1608465608466,BJ0101,972.895238095238,97.5107725858426,975.6668263642999,79.72930363721048,514453.5874791335
9692,903.8301282051282,BJ0101,977.0961538461538,97.9189487571648,975.6668263642999,79.72930363721048,514453.5874791335
9693,906.6649029982362,BJ0101,980.3968253968253,98.16291456566098,975.6668263642999,79.72930363721048,514453.5874791335
9694,911.0571428571429,BJ0101,985.0000000000001,98.4590192541034,975.6668263642999,79.72930363721048,514453.5874791335
