id,so2,so2_adm2
8106,8.644673864398088e-6,1.0111978302450313e-5
8108,-3.249582182485788e-6,1.0111978302450313e-5
8110,-2.189930147216984e-5,1.0111978302450313e-5
8354,3.2111768221854076e-5,1.0111978302450313e-5
8355,7.700221793878339e-6,1.0111978302450313e-5
8356,-1.3570478455338515e-5,1.0111978302450313e-5
8623,3.708185670674745e-5,1.0111978302450313e-5
8624,1.6846562288343447e-5,1.0111978302450313e-5
8625,-5.160599345560865e-6,1.0111978302450313e-5
8876,3.811128156994511e-5,1.0111978302450313e-5
8878,2.895555807848112e-5,1.0111978302450313e-5
8880,1.1699931854519381e-5,1.0111978302450313e-5
9129,1.3393188311088743e-5,1.0111978302450313e-5
9131,9.60280123918725e-6,1.0111978302450313e-5
9394,-8.588207936133237e-6,1.0111978302450313e-5
10675,-9.253544555527445e-6,4.704222491789845e-6
10930,-2.2999683939103585e-5,4.704222491789845e-6
10932,-2.0303128378742917e-5,4.704222491789845e-6
10934,-1.8393298085439388e-6,4.704222491789845e-6
10936,-1.0864645943184288e-5,4.704222491789845e-6
10939,-9.789775039261724e-6,4.704222491789845e-6
11182,-1.9626684996692704e-5,4.704222491789845e-6
11184,-1.1068103984400876e-5,4.704222491789845e-6
11185,-2.544046527407766e-7,4.704222491789845e-6
11186,-3.18683263110003e-6,4.704222491789845e-6
11187,-1.060439009467683e-5,4.704222491789845e-6
11428,-3.501887021925176e-5,4.704222491789845e-6
11429,-9.812731119742286e-6,4.704222491789845e-6
11430,1.1053822347828168e-5,4.704222491789845e-6
11431,8.94683619293255e-6,4.704222491789845e-6
9676,1.1626616073555655e-5,4.704222491789845e-6
9678,1.0407378797356585e-5,4.704222491789845e-6
9680,2.781713392583512e-5,4.704222491789845e-6
9681,2.38218686165659e-5,4.704222491789845e-6
9682,1.7077537568671522e-5,4.704222491789845e-6
9683,-7.078732999835876e-6,4.704222491789845e-6
9684,-8.01672986081066e-6,4.704222491789845e-6
9685,1.679654322136758e-5,4.704222491789845e-6
9686,2.6199424913766906e-5,4.704222491789845e-6
9687,2.273590883090213e-5,4.704222491789845e-6
9688,1.5021251431979043e-5,4.704222491789845e-6
9689,-3.765157461918333e-6,4.704222491789845e-6
9690,-1.6372912840429265e-6,4.704222491789845e-6
9691,-6.079555877631477e-6,4.704222491789845e-6
9692,-8.078848242592763e-6,4.704222491789845e-6
9693,-1.5812951469170436e-6,4.704222491789845e-6
9694,-1.1620053161929972e-5,4.704222491789845e-6
9695,-1.10828898161198e-5,4.704222491789845e-6
9696,1.20372470828594e-5,4.704222491789845e-6
9697,1.7108095901011056e-5,4.704222491789845e-6
9698,6.870489517980827e-6,4.704222491789845e-6
9700,-8.875896900023975e-6,4.704222491789845e-6
9702,-4.552211507429428e-6,4.704222491789845e-6
9704,1.801502488672536e-5,4.704222491789845e-6
9945,1.008727616449396e-5,4.704222491789845e-6
9947,7.836908355686776e-6,4.704222491789845e-6
9949,-2.9702697404201303e-7,4.704222491789845e-6
9950,-1.5983247608723034e-6,4.704222491789845e-6
9951,-1.5228862264564602e-5,4.704222491789845e-6
9952,-2.035588616385439e-5,4.704222491789845e-6
9953,2.572406690694888e-6,4.704222491789845e-6
9954,2.9791274692880753e-5,4.704222491789845e-6
9955,1.3741229201466262e-5,4.704222491789845e-6
9956,-4.610076410714031e-6,4.704222491789845e-6
9957,-1.9810449922924186e-5,4.704222491789845e-6
9958,-7.416463524426406e-6,4.704222491789845e-6
9959,-4.308185215441559e-6,4.704222491789845e-6
9960,-8.453501691331274e-7,4.704222491789845e-6
9961,7.380743339899798e-6,4.704222491789845e-6
9962,1.1974882517682878e-5,4.704222491789845e-6
