id,admin2Pcod,lc_11,lc_12,lc_13,lc_8,lc_11_adm2,lc_12_adm2,lc_13_adm2,lc_8_adm2,lc_11_max_adm2,lc_12_max_adm2,lc_13_max_adm2,lc_8_max_adm2
8106,BJ0800,0,0.5263157894736842,0,0.07894736842105263,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8108,BJ0800,0,1,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8110,BJ0800,0,0.2857142857142857,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8354,BJ0800,0,0.4489795918367347,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8355,BJ0800,0,1,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8356,BJ0800,0,0.3673469387755102,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8623,BJ0800,0,0.35714285714285715,0,0.047619047619047616,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8624,BJ0800,0,1,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8625,BJ0800,0,0.5,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8876,BJ0800,0,0.3469387755102041,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8878,BJ0800,0,0.9761904761904762,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
8880,BJ0800,0,0.30612244897959184,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
9129,BJ0800,0,1,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
9131,BJ0800,0,0.07142857142857142,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
9394,BJ0800,0,1,0,0,0,0.6124119823367944,0,0.008437761069340017,0,1,0,0.07894736842105263
10675,BJ0101,0,1,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
10930,BJ0101,0.027777777777777776,0.3611111111111111,0.1111111111111111,0.4444444444444444,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
10932,BJ0101,0,1,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
10934,BJ0101,0.19444444444444445,0.5555555555555556,0.25,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
10936,BJ0101,0.15151515151515152,0.030303030303030304,0.3939393939393939,0.06060606060606061,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
10939,BJ0101,0.3888888888888889,0,0.5555555555555556,0.05555555555555555,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11182,BJ0101,0.07692307692307693,0.05128205128205128,0.46153846153846156,0.15384615384615385,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11184,BJ0101,0.07142857142857142,0.07142857142857142,0.2619047619047619,0.5952380952380952,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11185,BJ0101,0.2682926829268293,0,0.6097560975609756,0.12195121951219512,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11186,BJ0101,0.2857142857142857,0,0.38095238095238093,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11187,BJ0101,0.14285714285714285,0,0.8571428571428571,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11428,BJ0101,0.16216216216216217,0,0.7567567567567568,0.08108108108108109,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11429,BJ0101,0,0,0.8064516129032258,0.03225806451612903,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11430,BJ0101,0.034482758620689655,0,0.4827586206896552,0.06896551724137931,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
11431,BJ0101,0.08333333333333333,0,0.9166666666666666,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
9676,BJ0101,1,0,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
9678,BJ0101,1,0,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
9680,BJ0101,1,0,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
9681,BJ0101,1,0,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
9682,BJ0101,1,0,0,0,0.9754277048506972,0.006323996907825384,0.012465359494631597,0.0029185283762044917,1,1,0.9166666666666666,0.5952380952380952
