hhid,grappe,menage,vague,hhweight,hhsize,lat,lon,insecure
7095,7,95,1,430.22746120854913,6,11.2016326,2.3080135,1
8012,8,12,2,278.48496940005384,7,11.0876875,2.4261696,0
8018,8,18,2,278.48496940005384,4,11.0876875,2.4261696,1
8024,8,24,2,278.48496940005384,7,11.0876875,2.4261696,0
8036,8,36,2,278.48496940005384,2,11.0876875,2.4261696,0
8042,8,42,2,278.48496940005384,9,11.0876875,2.4261696,1
8049,8,49,2,278.48496940005384,7,11.0876875,2.4261696,1
8061,8,61,2,278.48496940005384,2,11.0876875,2.4261696,1
8067,8,67,2,278.48496940005384,7,11.0876875,2.4261696,1
8073,8,73,2,278.48496940005384,6,11.0876875,2.4261696,0
8085,8,85,2,278.48496940005384,5,11.0876875,2.4261696,0
8091,8,91,2,278.48496940005384,14,11.0876875,2.4261696,0
8097,8,97,2,278.48496940005384,2,11.0876875,2.4261696,0
9002,9,2,1,398.2673849134346,10,11.2944278167561,2.55004827864468,0
9009,9,9,1,398.2673849134346,8,11.2944278167561,2.55004827864468,0
9016,9,16,1,398.2673849134346,7,11.2944278167561,2.55004827864468,1
9023,9,23,1,398.2673849134346,5,11.2944278167561,2.55004827864468,0
9030,9,30,1,398.2673849134346,4,11.2944278167561,2.55004827864468,1
9037,9,37,1,398.2673849134346,4,11.2944278167561,2.55004827864468,1
9044,9,44,1,398.2673849134346,2,11.2944278167561,2.55004827864468,1
9051,9,51,1,398.2673849134346,7,11.2944278167561,2.55004827864468,1
9058,9,58,1,398.2673849134346,5,11.2944278167561,2.55004827864468,1
9065,9,65,1,398.2673849134346,2,11.2944278167561,2.55004827864468,0
9072,9,72,1,398.2673849134346,6,11.2944278167561,2.55004827864468,1
9078,9,78,1,398.2673849134346,7,11.2944278167561,2.55004827864468,0
10006,10,6,2,312.51879085942363,5,11.2597918650135,2.26399412378669,0
10020,10,20,2,312.51879085942363,5,11.2597918650135,2.26399412378669,0
10027,10,27,2,312.51879085942363,10,11.2597918650135,2.26399412378669,0
10035,10,35,2,312.51879085942363,5,11.2597918650135,2.26399412378669,0
10049,10,49,2,312.51879085942363,5,11.2597918650135,2.26399412378669,1
10057,10,57,2,312.51879085942363,3,11.2597918650135,2.26399412378669,0
10064,10,64,2,312.51879085942363,3,11.2597918650135,2.26399412378669,1
10079,10,79,2,312.51879085942363,2,11.2597918650135,2.26399412378669,0
10086,10,86,2,312.51879085942363,7,11.2597918650135,2.26399412378669,1
10093,10,93,2,312.51879085942363,6,11.2597918650135,2.26399412378669,1
10108,10,108,2,312.51879085942363,4,11.2597918650135,2.26399412378669,1
10115,10,115,2,312.51879085942363,8,11.2597918650135,2.26399412378669,1
11005,11,5,1,537.9890806018099,8,10.8126397,2.7248518,1
11017,11,17,1,537.9890806018099,14,10.8126397,2.7248518,0
11030,11,30,1,537.9890806018099,6,10.8126397,2.7248518,1
11042,11,42,1,537.9890806018099,7,10.8126397,2.7248518,1
11055,11,55,1,537.9890806018099,8,10.8126397,2.7248518,0
11068,11,68,1,537.9890806018099,3,10.8126397,2.7248518,1
11080,11,80,1,537.9890806018099,5,10.8126397,2.7248518,0
11093,11,93,1,537.9890806018099,4,10.8126397,2.7248518,0
11106,11,106,1,537.9890806018099,10,10.8126397,2.7248518,1
11118,11,118,1,537.9890806018099,9,10.8126397,2.7248518,0
11131,11,131,1,537.9890806018099,2,10.8126397,2.7248518,1
11143,11,143,1,537.9890806018099,8,10.8126397,2.7248518,1
12003,12,3,2,223.11081881817404,7,10.7476284,2.6593214,0
12009,12,9,2,223.11081881817404,8,10.7476284,2.6593214,0
12023,12,23,2,223.11081881817404,7,10.7476284,2.6593214,1
12029,12,29,2,223.11081881817404,6,10.7476284,2.6593214,1
12036,12,36,2,223.11081881817404,6,10.7476284,2.6593214,1
12049,12,49,2,223.11081881817404,11,10.7476284,2.6593214,1
12056,12,56,2,223.11081881817404,6,10.7476284,2.6593214,1
12063,12,63,2,223.11081881817404,6,10.7476284,2.6593214,1
12076,12,76,2,223.11081881817404,10,10.7476284,2.6593214,0
12083,12,83,2,223.11081881817404,10,10.7476284,2.6593214,0
12090,12,90,2,223.11081881817404,6,10.7476284,2.6593214,1
12103,12,103,2,223.11081881817404,11,10.7476284,2.6593214,1
13019,13,19,2,377.66925720009425,5,10.7893129,2.8068529,0
13029,13,29,2,377.66925720009425,4,10.7893129,2.8068529,1
13038,13,38,2,377.66925720009425,12,10.7893129,2.8068529,1
13058,13,58,2,377.66925720009425,11,10.7893129,2.8068529,0
13068,13,68,2,377.66925720009425,3,10.7893129,2.8068529,1
13078,13,78,2,377.66925720009425,3,10.7893129,2.8068529,1
13097,13,97,2,377.66925720009425,7,10.7893129,2.8068529,1
13107,13,107,2,377.66925720009425,9,10.7893129,2.8068529,1
13117,13,117,2,377.66925720009425,7,10.7893129,2.8068529,1
13136,13,136,2,377.66925720009425,3,10.7893129,2.8068529,0
13146,13,146,2,377.66925720009425,8,10.7893129,2.8068529,1
13156,13,156,2,377.66925720009425,10,10.7893129,2.8068529,0
14008,14,8,1,173.84314721997674,3,10.6761548,2.6700515,0
14017,14,17,1,173.84314721997674,7,10.6761548,2.6700515,0
14025,14,25,1,173.84314721997674,9,10.6761548,2.6700515,1
14034,14,34,1,173.84314721997674,13,10.6761548,2.6700515,1
